cluster	rank	names	scores	logfoldchanges	pvals	pvals_adj
8	75	FYB1	26.826252	1.9481796	1.59676503438825e-158	7.12721914922492e-156
8	76	SIVA1	26.563437	1.9553086	1.7965801951922874e-155	7.922485749907579e-153
8	77	SEPTIN1	26.535074	1.8965346	3.818803504639275e-155	1.6639527032535963e-152
8	78	SMPD3	26.46879	2.6085181	2.2177696875968218e-154	9.549716274791914e-152
8	79	SLC25A5	26.43164	1.6448734	5.932814139083347e-154	2.5249643058673207e-151
8	80	RNASEH2B	26.290192	2.0672169	2.4828806749994273e-152	1.0326808589278869e-149
9	1	MALAT1	35.58253	3.5607162	2.610163863862377e-277	9.553460758122686e-273
9	2	PTPRC	26.863201	3.1606936	5.913885956947289e-159	6.012614997506325e-156
9	3	CYP2U1	26.350958	4.2652597	5.004403647831601e-153	4.6965686644688313e-150
9	4	MZB1	25.807375	3.5606046	7.328565977599784e-147	5.960729852136215e-144
9	5	RAG1	24.286413	3.9376175	2.7284389712112862e-130	1.7832784783090052e-127
9	6	SATB1	23.417168	2.9481375	2.8572756742505417e-121	1.6340491711444386e-118
9	7	ARPP21	23.08504	3.6737328	6.544943229750109e-118	3.629567684122481e-115
9	8	CD38	22.606812	3.3259752	3.714245049185667e-113	1.9991923977241853e-110
9	9	TCF12	20.603094	3.3600159	2.5745598534916723e-94	1.0708121045187352e-91
9	10	CD1E	20.242878	2.9430065	4.104818994638958e-91	1.5814787370819e-88
9	11	MDM4	19.256151	3.32236	1.2535637805054843e-82	4.634513932351639e-80
9	12	ELOVL4	19.163092	3.1035202	7.526651819320487e-82	2.754829832389492e-79
9	13	CAMK4	18.490463	2.537734	2.4642893790126722e-76	8.75684034575173e-74
9	14	DDX17	18.266754	2.4262204	1.5223903701009518e-74	5.306762851053803e-72
9	15	CD8B	18.04744	2.4956357	8.263491907414706e-73	2.8533213896536382e-70
9	16	AQP3	17.618303	2.4486513	1.7827084189549057e-69	5.931719167469864e-67
9	17	APBB1IP	17.445644	2.2638066	3.71500156266641e-68	1.2249799296860654e-65
9	18	BTG2	17.15807	2.3069131	5.470234263903683e-66	1.7718234008242363e-63
9	19	LEF1	16.704382	1.9502201	1.2178429190385887e-62	3.714522389977615e-60
9	20	DAPK1	16.367733	3.592638	3.250979443024868e-60	9.519127887532255e-58
