cluster	rank	gene	score	logfoldchange	pvals_adj	pct_nonzero_in_cluster
9	22	RERGL	21.143368	5.740915	3.828430913915521e-96	0.02702702702702703
9	23	MCAM	21.000889	3.497694	7.422161831316754e-95	0.8074324324324325
9	24	HES4	20.843012	3.8364189	1.949040253801209e-93	0.44594594594594594
9	25	MT-CYB	20.743048	1.5905249	1.5027514529791386e-92	0.0
9	26	PLN	20.565754	5.319537	5.463877277410023e-91	0.0472972972972973
9	27	RRAD	20.065044	5.2855706	1.4127436469659183e-86	0.0
9	28	ATF3	20.018	3.7688081	3.510064459318788e-86	0.02027027027027027
9	29	CEBPD	19.949055	2.9435055	1.3503267828421899e-85	0.0
9	30	SELM	19.857883	2.3154304	8.058317499757348e-85	0.0033783783783783786
9	31	NR2F2	19.780066	2.7471757	3.664069844302857e-84	0.0
9	32	MT-ATP6	19.745766	1.8380966	7.010293382383605e-84	0.016891891891891893
9	33	S100A6	19.587296	2.1683326	1.5479333594047093e-82	0.02027027027027027
9	34	CD81	19.43431	2.4061315	2.9982623736141605e-81	0.033783783783783786
9	35	NEXN	19.364122	4.9707117	1.1416257600039478e-80	0.26013513513513514
9	36	MYH11	19.312613	4.716922	3.0156841275856293e-80	0.05405405405405406
9	37	MT-ND3	19.05955	1.5630428	3.7226228650364527e-78	0.0
9	38	PHLDA2	18.964418	4.435707	2.2258328802970142e-77	0.0
9	39	UBA2	18.792116	2.9948063	5.667098528453377e-76	0.19932432432432431
9	40	MTHFD2	18.788157	3.708606	5.928832016048442e-76	0.0
9	41	JUND	18.787193	2.4070592	5.928832016048442e-76	0.0033783783783783786
9	42	MT-ND5	18.545633	1.5374588	5.33125214735568e-74	0.0777027027027027
9	43	YBX3	18.39445	2.0861003	8.576717785644174e-73	0.02702702702702703
9	44	RHOB	18.311672	2.3695893	3.850394092722209e-72	0.18243243243243243
9	45	EPS8	18.034582	3.2500288	5.7614389262619216e-70	0.08108108108108109
9	46	MT-ND4L	18.003485	1.991158	9.703116319398488e-70	0.0
9	47	CRIP1	17.847063	2.6107998	1.584152595306449e-68	0.08445945945945946
9	48	HSP90AA1	17.60914	1.6970131	1.0689904388315702e-66	0.17229729729729729
